category,subcategory,question,answer
Loans,Home Loan,What documents are required for home loan?,"Income proof, ID proof, property documents."
Loans,Home Loan,How to apply for home loan?,Apply online or visit branch.
Accounts,Savings Account,How to open savings account?,Submit KYC documents at branch.
Accounts,Savings Account,Minimum balance required?,Depends on account type.
YONO Business,Digital Solutions,What is YONO Business?,"YONO Business is SBI’s digital banking platform designed for business and corporate customers to manage accounts, payments, trade finance, lending and other services online."
YONO Business,Digital Solutions,Where can I access YONO Business?,YONO Business can be accessed through the official YONO Business web portal using a desktop or laptop with internet connectivity.
YONO Business,Digital Solutions,Who can use YONO Business?,"YONO Business can be used by proprietorships, partnership firms, companies, trusts, institutions and other business entities having accounts with SBI."
YONO Business,Digital Solutions,What digital services are available on YONO Business?,"YONO Business offers account management, payments, collections, trade finance, lending, API banking, user management and reporting services."
YONO Business,Digital Solutions,How can NTB New to Bank customers onboard?,New to Bank customers can onboard by applying online through YONO Business and completing KYC and account opening formalities at the branch.
YONO Business,Digital Solutions,How can ETB Existing SBI Customers onboard?,Existing SBI customers can onboard through YONO Business using their account details and complete verification as per bank process.
YONO Business,Digital Solutions,What are the variants of YONO Business Corporate Internet Banking access?,"YONO Business offers different access variants such as view-only access, transaction rights access and advanced corporate banking features."
YONO Business,Digital Solutions,What are the login options for YONO Business?,Users can log in using user ID and password along with OTP or other authentication methods as prescribed by the bank.
YONO Business,Digital Solutions,How are user roles managed in YONO Business?,"User roles are managed through role-based access control where makers, checkers and authorisers can be defined."
YONO Business,Digital Solutions,Can complex corporate hierarchies be replicated in YONO Business?,"Yes, YONO Business allows configuration of complex approval hierarchies and delegation of powers as per corporate policies."
YONO Business,Digital Solutions,Can transactions be authorised by more than one person in YONO Business?,"Yes, YONO Business supports multi-level and multi-user transaction authorisation."
YONO Business,Digital Solutions,What are the transaction limits?,"Transaction limits are defined by SBI based on account type, customer profile and approval structure."
YONO Business,Digital Solutions,Can I use API Banking with YONO Business?,"Yes, API banking services are available for eligible corporate customers subject to bank approval."
YONO Business,Digital Solutions,What lending options are available through YONO Business?,"YONO Business provides access to working capital loans, trade finance credit and other business lending products."
YONO Business,Digital Solutions,Is YONO Business available in local languages?,"Currently, YONO Business is primarily available in English."
YONO Business,Digital Solutions,How do I reach customer support for YONO Business?,"Customers can contact SBI customer support, visit their home branch or use contact details available on the YONO Business portal."
YONO Business,Accounts,What is a Current Account?,A Current Account is a deposit account designed for businesses to conduct frequent transactions.
YONO Business,Accounts,Who can open a Current Account?,"Businesses, firms, companies, trusts and institutions can open a Current Account with SBI."
YONO Business,Accounts,What documents are required to open a Current Account?,"Documents include KYC documents, business registration proof and other documents as required by SBI."
YONO Business,Accounts,How do I open a Current Account?,A Current Account can be opened by visiting an SBI branch or through online account opening channels where available.
YONO Business,Accounts,How do I transfer my Current Account to the nearest branch?,You can request branch transfer by submitting a written request at your existing SBI branch.
YONO Business,Accounts,How can I update contact details in my Current Account?,Contact details can be updated by visiting the branch or submitting a request through available digital channels.
YONO Business,Accounts,Am I eligible for opening a Startup Current Account?,Eligibility depends on SBI criteria for startups and submission of required documents.
YONO Business,Accounts,How do I select the type of Current Account to open?,You can select the account type based on your business needs with guidance from SBI branch officials.
YONO Business,Trade Finance,Can I add multiple makers and checkers in eTrade?,"Yes, eTrade supports multiple makers and checkers based on user role configuration."
YONO Business,Trade Finance,If margin is insufficient can it be requested during LC or BG issuance?,Margin requirements are as per bank policy and any relaxation is subject to branch approval.
YONO Business,Trade Finance,Do I need to submit physical documents after uploading in eTrade?,Physical document submission may be required based on transaction type and branch instructions.
YONO Business,Trade Finance,Under what circumstances does an eTrade transaction get locked?,"Transactions may get locked due to inactivity, validation errors or system issues."
YONO Business,Trade Finance,How can a locked eTrade transaction be unlocked?,Locked transactions can be unlocked by the branch or authorised personnel.
YONO Business,Trade Finance,From where can the transaction be accessed after unlock?,"Once unlocked, the transaction can be accessed from the transaction dashboard."
YONO Business,Trade Finance,Will my work get auto saved in eTrade?,"Yes, eTrade supports auto-save to prevent data loss during system or network failure."
YONO Business,Trade Finance,How can I save a template in eTrade?,Users can save templates while creating transactions for future reuse.
YONO Business,Trade Finance,How can I delete my transaction in eTrade?,Transactions can be deleted before submission as per user rights.
YONO Business,Trade Finance,Where can a checker see transaction details in eTrade?,Checkers can view transaction details in their pending or approval queue.
YONO Business,Trade Finance,How can I check the status of my eTrade transaction?,Transaction status can be viewed from the transaction tracking section.
YONO Business,Trade Finance,From where can I view past eTrade transactions?,Past transactions are available in the transaction history section.
YONO Business,Trade Finance,How can I download my eTrade application?,Applications can be downloaded from the transaction details page.
YONO Business,Trade Finance,Can I cancel a letter of credit after opening?,Cancellation of LC is subject to bank rules and beneficiary consent where applicable.
YONO Business,Trade Finance,Can the branch view documents uploaded in eTrade?,"Yes, uploaded documents are visible to the concerned branch."
YONO Business,Trade Finance,What is Export LC Advising?,Export LC Advising is the process of advising an export letter of credit to the beneficiary.
YONO Business,Trade Finance,What is Export LC Confirmation?,Export LC Confirmation is an additional guarantee by a bank ensuring payment under the LC.
YONO Business,Trade Finance,What is the prerequisite for availing Buyers Credit?,Prerequisites include sanctioned limits and compliance with SBI guidelines.
YONO Business,Trade Finance,What is Advance Import Payment?,Advance Import Payment is payment made to an overseas supplier before shipment.
YONO Business,Trade Finance,What is Pre Shipment Credit?,Pre Shipment Credit is financing provided to exporters before shipment of goods.
YONO Business,Trade Finance,What is Post Shipment Credit?,Post Shipment Credit is financing provided after shipment of export goods.
YONO Business,Trade Finance,What is PCFC facility?,PCFC is Pre-shipment Credit in Foreign Currency offered to exporters.
YONO Business,Trade Finance,In which currencies is PCFC available?,PCFC is available in major foreign currencies as permitted by SBI.
YONO Business,Trade Finance,What is e BG Electronic Bank Guarantee?,e-BG is a digital bank guarantee issued electronically through SBI systems.
YONO Business,Trade Finance,How can an applicant request for e Bank Guarantee?,Applicants can request e-BG through YONO Business or by coordinating with their branch.
YONO Business,Forex and Treasury,What is e-Forex Portal on YONO Business?,"The e-Forex Portal on YONO Business is an online platform that enables businesses to book forex transactions, track deals and manage treasury operations digitally."
