category,subcategory,question,answer
YONO Business,Forex and Treasury,What is e-Forex Portal on YONO Business?,"The e-Forex Portal on YONO Business is an online platform that enables businesses to book forex transactions, track deals and manage treasury operations digitally."
YONO Business,Forex and Treasury,What are the eligibility requirements for availing e-Forex?,"Eligibility for e-Forex depends on having an eligible SBI account, valid trade or remittance requirements and compliance with bank and RBI guidelines."
YONO Business,Forex and Treasury,Are any financial updates available on the e-Forex portal?,"Yes, the e-Forex portal provides market-related information and updates relevant to forex transactions."
YONO Business,Forex and Treasury,Can I place my rate booking order at a desired level?,"Yes, customers can place limit or stop-loss orders to book forex rates at desired levels instead of current market rates."
YONO Business,Forex and Treasury,How can I track the status of my forex transaction?,"The status of forex transactions can be tracked through the dashboard available on the e-Forex portal."
YONO Business,Forex and Treasury,Which documents can be uploaded using Upload Documents option?,"Customers can upload trade-related documents such as invoices, contracts and regulatory documents as required for the transaction."
YONO Business,Forex and Treasury,Can I delete a booked deal?,"Booked deals generally cannot be deleted and are governed by bank policies; customers should contact the branch for guidance."
YONO Business,Forex and Treasury,For how long is the live rate available?,"Live forex rates are available for a limited time window during which customers must take a booking decision."
YONO Business,Forex and Treasury,Do I need to fill Limit order rate and Stop loss rate while placing an order?,"Limit order and stop-loss rate fields are optional and need to be filled only if the customer wishes to use these features."
YONO Business,Forex and Treasury,What are status messages in running order and booked trade window?,"Status messages indicate the current state of the order or trade such as pending, executed, rejected or completed."
YONO Business,Forex and Treasury,How can I cancel a booked forward?,"Cancellation of a booked forward is subject to bank rules and may require branch intervention."
YONO Business,Forex and Treasury,What should I do if my transaction status shows Rejected?,"If a transaction is rejected, customers should review the rejection reason and contact their branch or SBI support for resolution."
YONO Business,Forex and Treasury,What is the minimum and maximum amount for booking rate on e-Forex?,"Minimum and maximum booking amounts are defined by SBI as per product and regulatory guidelines."
YONO Business,Forex and Treasury,Are forex rates updated in real time?,"Yes, forex rates on the e-Forex portal are updated in near real-time during market hours."
YONO Business,Forex and Treasury,What currency pairs are available on e-Forex portal?,"Major and permitted currency pairs are available on the e-Forex portal as approved by SBI."
YONO Business,Forex and Treasury,How can remittances be carried out?,"Remittances can be initiated through YONO Business by submitting required details and documents as per RBI guidelines."
YONO Business,Forex and Treasury,How can inward remittances be converted?,"Inward remittances can be converted through the e-Forex portal or by coordinating with the branch."
YONO Business,Forex and Treasury,How many currencies are available for remittances?,"Remittances are available in multiple foreign currencies as permitted by RBI and supported by SBI."
YONO Business,Forex and Treasury,What documents are required for Retail Outward Remittance?,"Documents such as purpose declaration, invoices and KYC details are required for Retail Outward Remittance."
YONO Business,Forex and Treasury,What are the transaction charges for outward remittance?,"Transaction charges are as per SBI’s applicable schedule of charges."
YONO Business,Forex and Treasury,What purposes are permitted under Retail Outward Remittance?,"Permitted purposes are defined under RBI’s Liberalised Remittance Scheme and related guidelines."
YONO Business,Forex and Treasury,What is the maximum limit for outward remittance?,"The maximum limit for outward remittance is governed by RBI guidelines."
YONO Business,Forex and Treasury,What RBI guidelines apply for outward remittance?,"Outward remittances are governed by RBI’s Foreign Exchange Management Act and related circulars."
YONO Business,Forex and Treasury,In how many currencies can Foreign Travel Card be availed?,"Foreign Travel Cards can be availed in multiple foreign currencies as offered by SBI."
YONO Business,Forex and Treasury,Can multiple currencies be loaded on a single Foreign Travel Card?,"Yes, multiple currencies can be loaded on a single Foreign Travel Card subject to product terms."
YONO Business,Forex and Treasury,What documents are required for availing Foreign Travel Card?,"KYC documents, travel proof and application form are required for availing a Foreign Travel Card."
YONO Business,Forex and Treasury,What is the maximum load amount on Foreign Travel Card?,"Maximum load amount is subject to RBI regulations and SBI product limits."
YONO Business,Forex and Treasury,What is the validity of the Foreign Travel Card?,"The validity of the card is mentioned on the card and product documentation."
YONO Business,Forex and Treasury,How can a business book forex transactions with SBI?,"Businesses can book forex transactions through YONO Business e-Forex portal or via their SBI branch."
YONO Business,Forex and Treasury,What documentation is required for Forward Contracts?,"Documentation includes underlying exposure proof and regulatory declarations."
YONO Business,Forex and Treasury,Who can apply for Forward Contracts?,"Businesses with eligible forex exposure and approved limits can apply for Forward Contracts."
YONO Business,Forex and Treasury,What are the benefits of booking Forward Contracts?,"Forward Contracts help businesses hedge against adverse forex rate movements."
YONO Business,Forex and Treasury,What is a Forward Contract?,"A Forward Contract is an agreement to buy or sell foreign currency at a predetermined rate on a future date."
YONO Business,Forex and Treasury,How can a customer book a Forward Contract?,"Customers can book Forward Contracts through YONO Business or by coordinating with their SBI branch."
YONO Business,Forex and Treasury,What are options contracts?,"Options contracts provide the right but not the obligation to buy or sell currency at a specified rate."
YONO Business,Forex and Treasury,What types of options contracts are available?,"Different types of options contracts are available as permitted by RBI and offered by SBI."
YONO Business,Forex and Treasury,What are the key advantages of derivatives?,"Derivatives help in managing forex risk and protecting against market volatility."
YONO Business,Forex and Treasury,How can customers hedge exposure using derivatives?,"Customers can hedge exposures by using forward contracts, options or swaps as applicable."
YONO Business,Forex and Treasury,What is a swap?,"A swap is a derivative contract where two parties exchange cash flows or currencies for a defined period."
YONO Business,Forex and Treasury,What are the main types of swaps?,"Common types of swaps include currency swaps and interest rate swaps."
YONO Business,Forex and Treasury,How do swaps work?,"Swaps involve exchanging principal or interest payments based on agreed terms."
