category,subcategory,question,answer
YONO Business,Digital Solutions,What is YONO Business?,"YONO Business is SBI’s digital banking platform designed for business and corporate customers to manage accounts, payments, trade finance, lending and other services online."
YONO Business,Digital Solutions,Where can I access YONO Business?,"YONO Business can be accessed through the official YONO Business web portal using a desktop or laptop with internet connectivity."
YONO Business,Digital Solutions,Who can use YONO Business?,"YONO Business can be used by proprietorships, partnership firms, companies, trusts, institutions and other business entities having accounts with SBI."
YONO Business,Digital Solutions,What digital services are available on YONO Business?,"YONO Business offers account management, payments, collections, trade finance, lending, API banking, user management and reporting services."
YONO Business,Digital Solutions,How can NTB New to Bank customers onboard?,"New to Bank customers can onboard by applying online through YONO Business and completing KYC and account opening formalities at the branch."
YONO Business,Digital Solutions,How can ETB Existing SBI Customers onboard?,"Existing SBI customers can onboard through YONO Business using their account details and complete verification as per bank process."
YONO Business,Digital Solutions,What are the variants of YONO Business Corporate Internet Banking access?,"YONO Business offers different access variants such as view-only access, transaction rights access and advanced corporate banking features."
YONO Business,Digital Solutions,What are the login options for YONO Business?,"Users can log in using user ID and password along with OTP or other authentication methods as prescribed by the bank."
YONO Business,Digital Solutions,How are user roles managed in YONO Business?,"User roles are managed through role-based access control where makers, checkers and authorisers can be defined."
YONO Business,Digital Solutions,Can complex corporate hierarchies be replicated in YONO Business?,"Yes, YONO Business allows configuration of complex approval hierarchies and delegation of powers as per corporate policies."
YONO Business,Digital Solutions,Can transactions be authorised by more than one person in YONO Business?,"Yes, YONO Business supports multi-level and multi-user transaction authorisation."
YONO Business,Digital Solutions,What are the transaction limits?,"Transaction limits are defined by SBI based on account type, customer profile and approval structure."
YONO Business,Digital Solutions,Can I use API Banking with YONO Business?,"Yes, API banking services are available for eligible corporate customers subject to bank approval."
YONO Business,Digital Solutions,What lending options are available through YONO Business?,"YONO Business provides access to working capital loans, trade finance credit and other business lending products."
YONO Business,Digital Solutions,Is YONO Business available in local languages?,"Currently, YONO Business is primarily available in English."
YONO Business,Digital Solutions,How do I reach customer support for YONO Business?,"Customers can contact SBI customer support, visit their home branch or use contact details available on the YONO Business portal."

YONO Business,Accounts,What is a Current Account?,"A Current Account is a deposit account designed for businesses to conduct frequent transactions."
YONO Business,Accounts,Who can open a Current Account?,"Businesses, firms, companies, trusts and institutions can open a Current Account with SBI."
YONO Business,Accounts,What documents are required to open a Current Account?,"Documents include KYC documents, business registration proof and other documents as required by SBI."
YONO Business,Accounts,How do I open a Current Account?,"A Current Account can be opened by visiting an SBI branch or through online account opening channels where available."
YONO Business,Accounts,How do I transfer my Current Account to the nearest branch?,"You can request branch transfer by submitting a written request at your existing SBI branch."
YONO Business,Accounts,How can I update contact details in my Current Account?,"Contact details can be updated by visiting the branch or submitting a request through available digital channels."
YONO Business,Accounts,Am I eligible for opening a Startup Current Account?,"Eligibility depends on SBI criteria for startups and submission of required documents."
YONO Business,Accounts,How do I select the type of Current Account to open?,"You can select the account type based on your business needs with guidance from SBI branch officials."

YONO Business,Trade Finance,Can I add multiple makers and checkers in eTrade?,"Yes, eTrade supports multiple makers and checkers based on user role configuration."
YONO Business,Trade Finance,If margin is insufficient can it be requested during LC or BG issuance?,"Margin requirements are as per bank policy and any relaxation is subject to branch approval."
YONO Business,Trade Finance,Do I need to submit physical documents after uploading in eTrade?,"Physical document submission may be required based on transaction type and branch instructions."
